,RE,Hour,X_start,Y_start,X_end,Y_end
96,265.59025832943234,21,46.4095026,30.7292341,-18.477523,-49.0157765
97,198.907414501335,20,,,46.4704069,30.753321
98,508.76589480214756,6,46.4272588,30.7522509,46.4321895,30.7485915
99,606.9205547947942,20,46.4768679,30.7377955,46.4760172,30.7349424
100,374.6979178342654,19,46.4870066,30.7329909,46.4890901,30.7248494
101,346.2636948559726,9,46.4293368,30.7128942,47.5706275,-3.124909
102,370.36031540234654,15,46.5850067,30.8023268,46.5824639,30.8097741
103,301.121924132131,12,46.4378561,30.7455816,46.4321895,30.7485915
104,447.39228906296313,7,46.4342043,30.7618314,46.4327396,30.7653115
105,197.87145886100026,17,46.4378561,30.7455816,39.9091497,-86.1870511
106,546.4909928144023,21,46.4718364,30.7308988,47.5726163,-3.1284743
107,357.47187315685966,9,46.4924172,30.7139329,46.4877358,30.6990221
108,360.71460813007246,19,46.4826436,30.7224882,14.2528587,38.46588
109,392.57696640134554,9,46.4796607,30.707564,46.4961611,30.7170024
110,821.9868012365163,21,46.4106545,30.7556373,46.4039559,30.7469689
111,222.5778101291641,14,46.4624727,30.7455146,-18.493081,-49.023335
112,132.03174395415863,5,46.4726652,30.7392481,-6.6181093,-44.1095572
113,56.79615042296715,10,46.4883667,30.7235889,40.8212634,-73.3067885
114,559.4427004028573,12,46.4002626,30.7324964,46.4235135,30.7530222
115,221.5249160431648,14,46.4268553,30.7253537,46.4358361,30.7593034
116,1032.2529179025403,2,46.4972256,30.7213613,46.4972256,30.7213613
117,256.7663527894835,4,46.4239496,30.7211777,,
118,235.4875217929035,13,46.4706574,30.7468872,46.4663222,30.7461169
119,291.5452649166732,12,46.4924172,30.7139329,-15.001648,27.5002648
120,728.9142374413324,20,46.4095026,30.7292341,-18.477523,-49.0157765
121,81.7818869562738,15,46.4748414,30.7113454,46.476254,30.7116919
122,373.75990803823726,16,46.4272588,30.7522509,46.4276184,30.7193129
123,468.23120516909705,19,,,13.2571996,10.4763909
124,270.1338613335102,4,46.4826306,30.7386463,46.4933455,30.7226303
125,454.4562244099343,8,46.4301349,30.7284229,,
126,421.3191132808763,12,46.4694581,30.7408978,46.4683432,30.7408402
127,301.2231794887201,5,46.4383883,30.7261676,46.4623869,30.7274843
128,303.1665365132412,14,46.4076354,30.7298697,46.4066039,30.7227338
129,563.259894101612,6,46.4684401,30.7396111,46.1749163,10.365401
130,743.5664984014662,19,46.4796607,30.707564,46.483224,30.7085142
131,337.8661808637272,21,46.4684401,30.7396111,46.4754809,30.7417755
132,441.0743988411733,18,,,40.7852768,-73.2890428
133,402.1622444397052,16,46.4712319,30.7390156,46.4663222,30.7461169
134,216.5322921547209,12,46.4685241,30.7382746,46.4677793,30.7376958
